timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730966009234,197,Select Category - 3-31,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-4,text,true,,4408,649,5,27,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,197,0,0
1730966009431,0,Select Product - 3,,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-4,,true,,0,0,5,27,null,0,0,0
1730966008668,772,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-8,,true,,4973,597,21,26,null,0,1,571
1730966008669,772,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-8,text,true,,4973,597,21,26,https://petstore.octoperf.com/actions/Catalog.action,770,0,571
1730966007672,185,Select Category - 3,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-2,,true,,4408,649,4,26,null,0,1654,0
1730966009326,185,Select Category - 3-31,200,,Scenario 3 - Add to Cart - jp@gc - Ultimate Thread Group 3-2,text,true,,4408,649,4,26,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,184,0,0
1730966006563,199,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-24,,true,,4106,681,21,26,null,0,2759,0
1730966009321,199,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-24,text,true,,4106,681,21,26,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,199,0,0
1730966009521,0,Select Item - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-24,,true,,0,0,21,26,null,0,0,0
1730966007569,195,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-7,,true,,3804,674,20,25,null,0,1819,0
1730966009388,195,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-7,text,true,,3804,674,20,25,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-2,195,0,0
1730966006026,191,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-3,,true,,4119,681,20,25,null,0,3370,0
1730966009396,191,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-3,text,true,,4119,681,20,25,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-02,191,0,0
1730966007245,198,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-4,,true,,3815,674,20,25,null,0,2258,0
1730966009503,198,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-4,text,true,,3815,674,20,25,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-3,198,0,0
1730966006563,220,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-21,,true,,3826,681,20,25,null,0,2919,0
1730966009481,220,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-21,text,true,,3826,681,20,25,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,220,0,0
1730966009702,0,Select Item - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-21,,true,,0,0,20,25,null,0,0,0
1730966008901,807,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-11,,true,,4973,597,19,24,null,0,1,608
1730966008902,807,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-11,text,true,,4973,597,19,24,https://petstore.octoperf.com/actions/Catalog.action,804,0,608
1730966009709,0,Select Category - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-11,,true,,0,0,19,24,null,0,0,0
1730966009019,816,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-6,,true,,4973,597,18,23,null,0,1,617
1730966009020,816,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-6,text,true,,4973,597,18,23,https://petstore.octoperf.com/actions/Catalog.action,816,0,617
1730966008134,215,Select Category - 4,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 4 - Checkout - jp@gc - Ultimate Thread Group 4-1,,true,,4124,649,1,23,null,0,1556,0
1730966009690,215,Select Category - 4-63,200,,Scenario 4 - Checkout - jp@gc - Ultimate Thread Group 4-1,text,true,,4124,649,1,23,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,215,0,0
1730966008010,195,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-5,,true,,3815,674,18,23,null,0,1789,0
1730966009799,195,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-5,text,true,,3815,674,18,23,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-3,195,0,0
